,,Number,Number,Number,Area,Area,Area,Std,Std,Std,Density,Density,Density
,,ROI 1,ROI 2,ROI 3,ROI 1,ROI 2,ROI 3,ROI 1,ROI 2,ROI 3,ROI 1,ROI 2,ROI 3
417,Right,143.0,181.0,163.0,1625.006993006993,1025.6850828729282,1142.4233128834355,2356.723933161,1835.7137531787391,2277.2092892091787,0.0635646259694333,0.0507828228672467,0.0509376477127501
417,Left,208.0,195.0,247.0,887.5625,1037.1333333333334,663.5991902834008,1751.5932639338546,2124.7394582950024,1178.6513985001386,0.0504994332207069,0.0553214338859613,0.0448360169639887
419,Right,153.0,153.0,163.0,3262.830065359477,3262.830065359477,2741.9325153374234,7306.760109643645,7306.760109643645,5433.218303859418,0.1365557872761331,0.1365557872761331,0.1222555518110677
419,Left,114.0,108.0,194.0,4256.929824561404,4385.805555555556,3054.319587628866,9913.781320254562,11916.059082794183,11416.3993226056,0.1327472602020272,0.1295678800266101,0.1620841065457537
420,Right,67.0,97.0,81.0,7552.223880597015,5862.278350515464,6148.703703703704,20022.005190366355,12515.319390769217,14019.531962091713,0.1384120441693948,0.1555472702683776,0.1362362900684511
420,Left,,,,,,,,,,,,
422,Right,90.0,89.0,101.0,3907.633333333333,4322.101123595506,4338.821782178218,6504.656968647562,7914.646701534591,9510.767110381836,0.0962012110257173,0.1052226304686542,0.1198719056914269
422,Left,79.0,78.0,89.0,4426.886075949367,4780.602564102564,3864.314606741573,9791.01343329471,8119.212920621243,6690.370917485383,0.0956642478247929,0.1020003041788484,0.0940777034715778
423,Right,124.0,122.0,119.0,3356.3467741935483,2772.8934426229507,2411.6050420168067,9774.14996286921,7574.400887643426,5455.395499370382,0.1138446784019887,0.0925373877383099,0.0785013939706937
423,Left,,,,,,,,,,,,
426,Right,127.0,133.0,104.0,2277.196850393701,1680.781954887218,3613.730769230769,4512.947671219399,3708.856863293484,6336.974148890325,0.0791094781253829,0.0611487018784685,0.1028047915827804
426,Left,,,,,,,,,,,,
427,Right,114.0,151.0,165.0,2420.2105263157896,1231.76821192053,1430.7939393939394,4760.8015192537605,2482.431889481786,3378.212576700538,0.0754713677981828,0.0508780155284396,0.0645780995605819
427,Left,118.0,88.0,219.0,2800.923728813559,4128.284090909091,812.1232876712329,6155.492283363146,15482.60022560652,1485.308801907537,0.0904081357994432,0.0993748468164072,0.0486508355070814
431,Right,102.0,116.0,97.0,3342.235294117647,2356.086206896552,4017.896907216495,4704.717758974844,3116.716445427687,12879.73183070703,0.093252700407906,0.0747607053447943,0.1066092155249383
431,Left,102.0,115.0,132.0,3047.960784313725,3317.939130434783,2334.568181818182,5153.774552409211,6757.278880191599,3806.153657837724,0.085042059837888,0.1043735556975543,0.0842955633654873
433,Right,188.0,152.0,203.0,1666.4255319148936,2176.0986842105262,1065.6748768472903,6279.085103985131,6613.590907030854,3054.242848713926,0.0856974667810437,0.0904787096689483,0.0591759160378844
433,Left,120.0,123.0,107.0,2447.583333333333,2315.910569105691,3007.803738317757,5533.940335787515,6642.806280392482,4872.5211374300725,0.0803420589625531,0.0779203904868612,0.0880354313649971
434,Right,,,,,,,,,,,,
434,Left,155.0,129.0,158.0,1795.722580645161,2374.906976744186,1945.1518987341767,3148.072412770272,5427.803705865208,4135.935493924058,0.0761368958001435,0.0838031875317308,0.0840687969398294
435,Right,,,,,,,,,,,,
435,Left,146.0,154.0,147.0,1793.157534246575,1631.7922077922078,1695.8367346938776,3998.1558916120966,3325.5080297432146,3459.0891449755823,0.0716136031407013,0.0687400430664729,0.0681907704697046
437,Right,85.0,70.0,107.0,5605.529411764706,7357.628571428571,3754.0654205607475,10404.195818661488,14146.42296895449,7327.014890981246,0.13033461861662085,0.14088349731272212,0.10987777043469127
437,Left,,,,,,,,,,,,
